polygon_id,centroid_latitude,centroid_longitude,centroid_latitude_pixels,centroid_longitude_pixels,city,area_pixels,area_meters,image_name,nw_corner_of_image_latitude,nw_corner_of_image_longitude,se_corner_of_image_latitude,se_corner_of_image_longitude,datum,projection_zone,resolution,jaccard_index,orientation
1,36.92631014,-119.8405554,107.6184581,3286.151487,Fresno,136.192872,1513.254134,11ska460890,36.92633611,-119.8516222,36.91323333,-119.8343,NAD83,11,0.3,0.914019659,200.51
2,36.92647665,-119.8405609,45.977659,3286.352946,Fresno,155.511714,1727.907934,11ska460890,36.92633611,-119.8516222,36.91323333,-119.8343,NAD83,11,0.3,0.829070886,200.51
3,36.92654204,-119.8405057,22.28085129,3303.465657,Fresno,111.7965914,1242.184349,11ska460890,36.92633611,-119.8516222,36.91323333,-119.8343,NAD83,11,0.3,0.937961261,200.51
4,36.92100846,-119.8428469,2048.362567,2547.366116,Fresno,62.00400783,688.9334203,11ska460890,36.92633611,-119.8516222,36.91323333,-119.8343,NAD83,11,0.3,0.84263429,226.75
5,36.92097555,-119.8429058,2060.01489,2529.504997,Fresno,95.48014987,1060.890554,11ska460890,36.92633611,-119.8516222,36.91323333,-119.8343,NAD83,11,0.3,0.890998264,226.75
6,36.92097615,-119.843,2058.955498,2501.533607,Fresno,95.07293588,1056.365954,11ska460890,36.92633611,-119.8516222,36.91323333,-119.8343,NAD83,11,0.3,0.880551465,226.75
7,36.92097335,-119.8430901,2059.194862,2474.746434,Fresno,96.09294208,1067.699356,11ska460890,36.92633611,-119.8516222,36.91323333,-119.8343,NAD83,11,0.3,0.929613462,226.75
8,36.93310835,-119.839761,2600.069131,3597.036576,Fresno,82.26863221,914.0959135,11ska460905,36.93984167,-119.852125,36.92673889,-119.8348,NAD83,11,0.3,0.939317464,178.48
9,36.92661365,-119.8407496,4993.634656,3231.81789,Fresno,33.22169392,369.1299324,11ska460905,36.93984167,-119.852125,36.92673889,-119.8348,NAD83,11,0.3,0,200.23
10,36.93735455,-119.8313201,1104.18149,1150.10812,Fresno,199.6212795,2218.014216,11ska475905,36.94024444,-119.8353,36.92714167,-119.8179778,NAD83,11,0.3,0.948764443,178.87
11,36.92460371,-119.8845815,346.8928314,192.3530798,Fresno,8.484636872,94.27374302,11ska430890,36.925525,-119.8852639,36.91242778,-119.8679361,NAD83,11,0.3,0,182.49
12,36.92422011,-119.8836972,496.7217054,450.7075093,Fresno,34.56642698,384.0714109,11ska430890,36.925525,-119.8852639,36.91242778,-119.8679361,NAD83,11,0.3,0.84319896,185.53
13,36.92515899,-119.8797973,184.1663824,1619.296529,Fresno,43.39131076,482.1256751,11ska430890,36.925525,-119.8852639,36.91242778,-119.8679361,NAD83,11,0.3,0.835313727,180.81
14,36.92548966,-119.8777021,80.51842245,2245.154546,Fresno,9.437907681,104.8656409,11ska430890,36.925525,-119.8852639,36.91242778,-119.8679361,NAD83,11,0.3,0,182.04
15,36.92537027,-119.8776469,125.1823049,2260.205703,Fresno,19.65401679,218.3779643,11ska430890,36.925525,-119.8852639,36.91242778,-119.8679361,NAD83,11,0.3,0.912944319,
16,36.92525124,-119.8776874,168.8564373,2246.853568,Fresno,8.082612902,89.80681002,11ska430890,36.925525,-119.8852639,36.91242778,-119.8679361,NAD83,11,0.3,0,
17,36.92525121,-119.8775595,170.0083309,2284.843537,Fresno,31.21839077,346.8710086,11ska430890,36.925525,-119.8852639,36.91242778,-119.8679361,NAD83,11,0.3,0.912418956,
18,36.92416648,-119.8770706,575.675258,2417.966491,Fresno,28.45349868,316.1499854,11ska430890,36.925525,-119.8852639,36.91242778,-119.8679361,NAD83,11,0.3,0.895687824,181.63
19,36.92416821,-119.8769467,576.1414058,2454.761049,Fresno,30.96115892,344.0128769,11ska430890,36.925525,-119.8852639,36.91242778,-119.8679361,NAD83,11,0.3,0.860910675,184.42
20,36.92451654,-119.8748868,465.6442733,3070.343496,Fresno,45.80694214,508.9660237,11ska430890,36.925525,-119.8852639,36.91242778,-119.8679361,NAD83,11,0.3,0.859422727,215.95
21,36.92514429,-119.872074,258.4920965,3912.609349,Fresno,52.8387145,587.0968278,11ska430890,36.925525,-119.8852639,36.91242778,-119.8679361,NAD83,11,0.3,0.913662262,173.4
22,36.92517307,-119.8719609,248.8525465,3946.534434,Fresno,21.95617041,243.957449,11ska430890,36.925525,-119.8852639,36.91242778,-119.8679361,NAD83,11,0.3,0,176.61
23,36.92444683,-119.8714541,522.0512503,4088.953891,Fresno,45.08821295,500.9801439,11ska430890,36.925525,-119.8852639,36.91242778,-119.8679361,NAD83,11,0.3,0.935815463,177.49
24,36.92502028,-119.8695955,326.4766217,4647.249908,Fresno,19.51132923,216.792547,11ska430890,36.925525,-119.8852639,36.91242778,-119.8679361,NAD83,11,0.3,0,175.63
25,36.92503088,-119.8694499,323.8544011,4690.594016,Fresno,16.36887113,181.8763459,11ska430890,36.925525,-119.8852639,36.91242778,-119.8679361,NAD83,11,0.3,0,176
26,36.92415836,-119.8702225,639.7602624,4451.467313,Fresno,15.41998923,171.3332137,11ska430890,36.925525,-119.8852639,36.91242778,-119.8679361,NAD83,11,0.3,0,
27,36.92235414,-119.8787275,1231.390886,1905.790457,Fresno,25.28537655,280.9486283,11ska430890,36.925525,-119.8852639,36.91242778,-119.8679361,NAD83,11,0.3,0,186.47
28,36.92237255,-119.8786329,1225.425224,1934.065743,Fresno,12.45133189,138.3481321,11ska430890,36.925525,-119.8852639,36.91242778,-119.8679361,NAD83,11,0.3,0,188.29
29,36.92197833,-119.8738629,1413.813982,3346.192924,Fresno,55.94804313,621.6449237,11ska430890,36.925525,-119.8852639,36.91242778,-119.8679361,NAD83,11,0.3,0,171.33
30,36.92096419,-119.87401,1787.692833,3291.219237,Fresno,16.68487251,185.3874723,11ska430890,36.925525,-119.8852639,36.91242778,-119.8679361,NAD83,11,0.3,0,
